RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  2820070    M =  10

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
   72  134     0     0  con    0  1.0E+00  6.6E+01  1.045E-01  4.025E+02
   73  135     0     0  con    0  1.0E+00  3.4E+01  1.107E-01  3.939E+02
   74  136     0     0  con    0  1.0E+00  4.2E+01  7.902E-02  3.820E+02
   75  137     0     0  con    0  1.0E+00  3.5E+01  8.730E-02  3.718E+02
   76  138     0     0  con    0  1.0E+00  5.2E+01  6.921E-02  3.575E+02
   77  139     0     0  con    0  1.0E+00  6.7E+01  2.651E+00  3.304E+02
   78  140     0     0  con    0  1.0E+00  9.2E+01  6.202E-01  3.056E+02
   79  141     0     0  con    0  1.0E+00  4.2E+01  7.452E-02  2.786E+02
   80  142     0     0  con    0  1.0E+00  3.5E+01  2.212E-01  2.629E+02
   81  145     0     0  con    2  1.7E-02  1.5E+01  1.783E-01  2.583E+02
   82  147     0     0  con    1  2.4E-01  9.8E+00  3.067E-01  2.559E+02
   83  148     0     0  con    0  1.0E+00  5.3E+01  2.711E-01  2.521E+02
   84  149     0     0  con    0  1.0E+00  2.8E+01  1.410E-01  2.503E+02
   85  150     0     0  con    0  1.0E+00  2.0E+01  7.771E-02  2.487E+02
   86  151     0     0  con    0  1.0E+00  1.2E+01  8.919E-02  2.476E+02
   87  152     0     0  con    0  1.0E+00  2.2E+01  8.852E-02  2.433E+02
   88  154     0     0  con    1  2.7E-02  3.2E+01  3.706E-01  2.403E+02
   89  155     0     0  con    0  1.0E+00  1.5E+01  1.793E-01  2.370E+02
   90  156     0     0  con    0  1.0E+00  5.2E+01  5.863E-02  2.311E+02
   91  157     0     0  con    0  1.0E+00  2.8E+01  6.591E-02  2.240E+02
   92  159     0     0  con    1  6.0E-02  1.2E+01  4.888E-02  2.200E+02
   93  160     0     0  con    0  1.0E+00  5.5E+01  7.596E-02  2.096E+02
   94  162     0     0  con    1  3.0E-01  5.3E+01  7.117E-02  1.944E+02
   95  164     0     0  con    1  3.2E-01  3.2E+01  6.515E-02  1.900E+02
   96  165     0     0  con    0  1.0E+00  5.4E+01  9.129E-02  1.852E+02
   97  167     0     0  con    1  4.4E-01  1.5E+01  2.319E-01  1.825E+02
   98  168     0     0  con    0  1.0E+00  2.3E+01  3.837E-02  1.753E+02
   99  169     0     0  con    0  1.0E+00  1.8E+01  4.242E-02  1.717E+02
  100  171     0     0  con    1  1.1E-01  8.1E+00  4.157E-02  1.701E+02
  101  173     0     0  con    1  4.0E-01  1.4E+01  5.831E-02  1.671E+02
